run,prompt_length,reuse_fraction,lcp_tokens,prompt_tokens,prefill_seconds,decode_seconds,time_to_first_token,time_per_output_token
1,10000,0.8,8000,10000,0.03878854704089463,0.8519616869743913,0.04260444641113281,0.006708359739955871
2,10000,0.8,8000,10000,0.018112387042492628,0.850399981951341,0.021901369094848633,0.0066960628500105646
3,10000,0.8,8000,10000,0.01767471502535045,0.8508158090990037,0.02138972282409668,0.0066993370795197515
4,10000,0.8,8000,10000,0.01775470981374383,0.8502880630549043,0.021449565887451172,0.006695181598857514
5,10000,0.8,8000,10000,0.017804258037358522,0.8498818480875343,0.021509408950805664,0.006691983055807316
1,20000,0.8,16000,20000,0.0879300101660192,0.8678631309885532,0.09379410743713379,0.006833567960539799
2,20000,0.8,16000,20000,0.02846921398304403,0.8678310590330511,0.03428339958190918,0.006833315425457065
3,20000,0.8,16000,20000,0.02839436801150441,0.8678790719714016,0.03424406051635742,0.006833693480089775
4,20000,0.8,16000,20000,0.02830135403200984,0.8678914508782327,0.03421330451965332,0.006833790951797147
5,20000,0.8,16000,20000,0.028371685184538364,0.8677379027940333,0.03399538993835449,0.006832581911764057
1,30000,0.8,24000,30000,0.1576706450432539,0.8855747890193015,0.1659233570098877,0.006973029834797639
2,30000,0.8,24000,30000,0.03910968895070255,0.8854096739087254,0.047232866287231445,0.006971729715816721
3,30000,0.8,24000,30000,0.03911858098581433,0.8852270310744643,0.04688668251037598,0.006970291583263455
4,30000,0.8,24000,30000,0.03900198102928698,0.885332427918911,0.04670286178588867,0.00697112147967649
5,30000,0.8,24000,30000,0.04327996214851737,0.8941099569201469,0.0488588809967041,0.007040235881261014
1,40000,0.8,32000,40000,0.2386876109521836,0.8905260269530118,0.245513916015625,0.00701201596025991
2,40000,0.8,32000,40000,0.04988891491666436,0.8901275801472366,0.056730031967163086,0.007008878583836475
3,40000,0.8,32000,40000,0.04977139690890908,0.8907346811611205,0.0564572811126709,0.007013658906780518
4,40000,0.8,32000,40000,0.049777648877352476,0.8898878830950707,0.05579638481140137,0.00700699120547299
5,40000,0.8,32000,40000,0.049842414911836386,0.8910419319290668,0.05664801597595215,0.007016078204165832
